"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"35","EM0000380024","150-강53ㄷ","(14살에 처음 만나는) 동양 철학자들  : 청소년을 위한 진짜 쉬운 동양 철학","강성률 지음  ; 서은경 그림","북멘토","2019","14000","종합실(청소년)"
"36","EM0000380025","151.52-이59","21세기와 남명 조식","정우락, 이상형, 박충환, 조영달, 김강식, 신창호, 김낙진, 최석기, 최은주, 김대진, 사재명, 황영신, 손병욱 지음","역락","2018","36000","종합자료실"
"37","EM0000380026","186.5-깁58ㄱ","감정이 서툰 어른들 때문에 아팠던 당신을 위한 책","린지 C. 깁슨 지음  ; 박선령 옮김","지식너머","2019","14000","종합자료실"
"38","EM0000380027","152.27-문69ㄱ","거스르지 않는다  : 제갈량의 《장원》 읽기","문이원 지음","문헌재","2019","15000","종합자료실"
"39","EM0000380028","848-제69ㄱ","공감 연습  : 부서진 심장과 고통과 상처와 당신에 관한 에세이","레슬리 제이미슨 지음  ; 오숙은 옮김","문학과지성사","2019","15000","종합자료실"
"40","EM0000380029","199.1-김14ㄱ","그저 감사했을 뿐인데  : 관계, 사랑, 운명을 바꾸는 감사의 힘","김경미 지음","메이트북스","2018","15000","종합자료실"
"41","EM0000380030","189-파33ㄴ","나는 내가 행복했으면 좋겠어  : 이미 충분히 행복하지만 행복한 줄 모르는 사람들에게","앨릭스 파머 지음  ; 구세희 옮김","포레스트북스","2019","13800","종합자료실"
"42","EM0000380031","325.211-홍58ㄴ","나는 내일 어제의 나와 만난다  = My tomorrow my yesterday  : 나답게 사는 삶, 지적이고 품격 있는 통찰","홍승훈 지음","Seoulearn(서런)","2018","15000","종합자료실"
"43","EM0000380032","189-케69ㄴ","나는 왜 자꾸 눈치를 볼까  : 열네 살부터 시작하는 첫 자신감 수업","캐티 케이, 클레어 시프먼, 질엘린 라일리 지음  ; 하연희 옮김","리듬문고","2019","13000","종합실(청소년)"
"44","EM0000380033","104-안16ㄴ","나는 이 질문이 불편하다  : 나태함을 깨우는 철학의 날 선 물음들","안광복 지음","어크로스","2019","14000","종합자료실"
"45","EM0000380034","181.7-김815ㄴ","나도 내가 왜 이러는지 모르겠어  : 휘둘리고 요동치는 마음에게 라는 경계를 짓다","김총기 지음","다반","2019","14000","종합자료실"
"46","EM0000380035","199.1-정811ㄴ","나를 나이게 하라  : 정조의 어록집 《일득록》에서 가려 뽑은 사람을 사람답게 하는 공부","정창권 엮음","이다북스","2019","15000","종합자료실"
"47","EM0000380036","189.1-정72ㄴ","남에게 못할 말은 나에게도 하지 않습니다  : 걱정 많은 나 데리고 즐겁게 사는 법","정재영 지음","Whale Books(웨일북)","2018","14500","종합자료실"
"48","EM0000380037","165.77-예73ㄴ","니체, 누가 당신의 인생을 그저 그렇다고 하는가","예저우 지음  ; 정호운 옮김","오렌지연필","2018","14000","종합자료실"
"49","EM0000380038","199.1-슈831ㄷ","다들 그렇게 산다는 말은 하나도 위로가 되지 않아  : 힘겨운 시간을 통과하고 있는 당신에게 들려주고 싶은 이야기","니콜 슈타우딩거 지음  ; 장혜경 옮김","갈매나무","2019","14000","종합자료실"
"50","EM0000380039","513.85-오825ㅁ","마음을 고치는 기술  : 부정적인 생각에서 벗어나 삶의 주도권을 잡는 법","리처드 오코너 지음  ; 김지혜 옮김","두시의나무","2019","18000","종합자료실"
"51","EM0000380040","189.1-박79ㅁ","마음이 단단해졌으면 좋겠어","박진희 지음","미다스북스","2019","14000","종합자료실"
