"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"256","EM0000380245","400-도213ㅈ","지구가 평평했을 때  : 우리가 잘못 알고 있는 과학의 모든 것","그레이엄 도널드 지음  ; 한혁섭 옮김","Youngjin.com(영진닷컴)","2019","12000","종합자료실"
"257","EM0000380246","539.92-호833ㅈ","지구 온난화의 이해","존 호턴 지음  ; 정지영, 최성호 옮김","에코리브르","2018","40000","종합자료실"
"258","EM0000380247","182.4-전77ㅈ","진화한 마음  : 전중환의 본격 진화심리학","전중환 지음","Humanist","2019","21000","종합자료실"
"259","EM0000380248","513.042-이53ㅂ","(질병 정복의 꿈), 바이오 사이언스  = Bio science  : 과학전문기자의 최신 의료기술 트렌드","이성규 지음","MID(엠아이디)","2019","15000","종합자료실"
"260","EM0000380249","410-코79ㅊ","천재 갈루아의 발상법 : 대칭성과 군으로 밝히는 방정식의 비밀","코지마 히로유키 지음 ; 김부윤 ; 송영무 ; 정영우 옮김","경문사","2018","15000","종합자료실"
"261","EM0000380250","410.7-김51ㅊ","초등교사, 수학으로 세상을 보다","김상미, 고정화 지음","춘천교육대학교","2018","13000","종합자료실"
"262","EM0000380251","420-최37ㅁ","(최무영 교수의) 물리학 강의  : 해학과 재치가 어우러진 생생한 과학 이야기","최무영 지음","책갈피","2019","29000","종합자료실"
"263","EM0000380252","500-홍53ㅋ","크로스 사이언스  = Cross science  : 프랑켄슈타인에서 AI까지, 과학과 대중문화의 매혹적 만남","홍성욱 지음","21세기북스(북이십일 21세기북스)","2019","17000","종합자료실"
"264","EM0000380253","498.6-슈63ㅍ","펭귄과 바닷새들","맷 슈얼 지음  ; 최은영 옮김","클","2019","12500","종합자료실"
"265","EM0000380254","126-몸37ㅍ","포스트바디  : 레고인간이 온다","몸문화연구소, 김종갑, 김운하, 서윤호, 심귀연, 심지원, 심진보, 주기화, 최은주, 최하영 지음","필로소픽","2019","16000","종합자료실"
"266","EM0000380255","517.5-김68ㅉ","(백년 면역력을 키우는) 짠맛의 힘  : '원인 모를 염증'과 '만성질환'에서 탈출하는 최강의 소금 사용설명서","김은숙 ; 장진기 쓰고 그림","앵글북스","2019","17500","종합자료실"
"267","EM0000380256","517.374-이58ㄱ","(의사가 말해주지 않는) 건강하게 장수하면서 행복하기","이승원 지음","백산","2019","19000","종합자료실"
"268","EM0000380257","530-한96ㅅ","10대에게 권하는 공학  : 학교에서 가르치지 않는 공학의 쓸모  : 사람과 사회에 도움이 되는 학문 공학의 가치에 대해 알려 주다","한화택 지음","글담","2018","13800","종합실(청소년)"
"269","EM0000380258","234.9-클231ㄴ","No라고 말할 줄 아는 자녀 양육","헨리 클라우드, 존 타운센드 [공]지음 ; 이기섭 옮김","좋은씨앗","2019","15000","종합자료실"
"270","EM0000380259","513.898-유57ㅊ","(가족과 사회가 함께) 치매를 알아야 예방할 수 있다","유순덕 지음","휴먼북스","2018","13000","종합자료실"
"271","EM0000380260","517.523-후211ㄱ","간헐적 단식으로 내 몸 리셋  : <SBS 스페셜>에서 극찬한 간헐적 단식 비우면 회복되는 놀라운 단식의 비밀","후나세 슌스케 지음  ; 장경환 옮김","문예춘추사","2019","13000","종합자료실"
"272","EM0000380261","513.8099-살239ㄱ","공감각  : 거울 촉각","조엘 살리나스 지음  ; 정유선 옮김","BM성안당","2019","16000","종합자료실"
"273","EM0000380262","517.5-건11","건강100세 장수식품 이야기","박상철, 이미숙, 이철호, 김경철, 신동화, 박현진, 권대영, 채수완 지음","식안연","2019","18000","종합자료실"
"274","EM0000380263","513.8-최53ㄴ=2","(건강한 노후 생활을 위한) 뇌졸중, 치매, 파킨슨병 바로 알기  : 생활건강수칙","최선아 지음","메디안북","2017","13000","종합자료실"
"275","EM0000380264","530.04-공91","공학이 필요한 시간  : 우리는 어떻게 공학의 매력에 깊이 빠져드는가","이인식 외 19인 지음","다산사이언스","2019","18000","종합자료실"
"276","EM0000380265","513.753-유811ㄱ","굿바이 류마티스  : 내 몸의 자연치유력을 살리고 류마티스와 이별하는 법","유창길 지음","넥서스books","2019","17000","종합자료실"
"277","EM0000380266","513.994-김53ㄴ-1","나는 그렇게 림프종(임파선암)을 만났다  : 백혈병 환자도 아닌 깁상선암 환자도 아닌 림프종 환자의 병상일지. 1-2","김성남 지음","생각나눔","2019","11000","종합자료실"
"278","EM0000380267","513.994-김53ㄴ-2","나는 그렇게 림프종(임파선암)을 만났다  : 백혈병 환자도 아닌 깁상선암 환자도 아닌 림프종 환자의 병상일지. 1-2","김성남 지음","생각나눔","2019","11000","종합자료실"
"279","EM0000380268","593.5-김225ㄴ","남자의 99%는 상체 근육이다","김동현 지음","원앤원콘텐츠그룹","2019","16000","종합자료실"
"280","EM0000380269","331.5412-린819ㄴ","내 손 안의 테크놀로지  : 첨단 기술은 세상을 어떻게 바꿀 것인가","제럴드 린치 지음  ; 김부민 옮김","유재","2019","16000","종합자료실"
"281","EM0000380270","598.1-김53ㄴ","내 아이는 괜찮을까  : 아이의 뻔한 미래를 바꾸는 비인지능력 교육법","김선호 지음","봄스윗봄","2019","14500","종합자료실"
"282","EM0000380271","598.15-알32ㄴ","넌 지금 미운오리 새끼지만 곧 백조가 될 거란다! : ADHD 아스퍼거증후군 발달장애 아이를 기도와 식이요법으로 극복해가는 엄마의 리얼 감동 이야기","알맹이엄마 지음","오늘도사랑해","2019","15000","종합자료실"
"283","EM0000380272","549.78-전67ㄴ","노후주택 리모델링  = Old house remodeling  : 도심 속 오래된 집의 재발견","전원속의 내집 편집부 지음","주택문화사","2019","27000","종합자료실"
"284","EM0000380273","573-박91ㄷ","더 드링크 스토리","박한 지음","신화전산기획","2019","23000","종합자료실"
"285","EM0000380274","550-고71ㄹ","로봇의 세계 (AI시대 로봇의 원리와 활용)","고자키 요지 지음 ; 전종훈 옮김","북스힐","2019","15000","종합자료실"
"286","EM0000380275","517.32-카835ㄹ","(1일 1분 디톡스) 림프 스트레칭  : 몸 속 깊이 숨어있는 림프를 자극하여 건강하게!!","카토 마사토시 지음  ; 서기창 옮김","시사문화사","2019","12000","종합자료실"
"287","EM0000380276","539.92-현51ㅁ","미세먼지 X파일  : 미세먼지 인벤토리  = Find dust X-fiile : fine dust inventory","현상민 저","씨아이알","2018","18000","종합자료실"
"288","EM0000380277","594.511-고68ㅂ","밥을 짓다 사람을 만나다","고은정 글  ; 류관희 사진","한살림","2019","19000","종합자료실"
"289","EM0000380278","547.72-홍79ㄱ","(방 한칸에 놓인 문화) 구들시공 이야기  : 구들과 과학","홍진곤 지음","지식과감성#","2019","20000","종합자료실"
"290","EM0000380279","513.994-임812ㅂ","(방사선종양학과 의사가 쉽게 알려주는) 방사선으로 치료할 수 있는 7가지 암","임채홍 지음","중앙생활사","2019","15000","종합자료실"
"291","EM0000380280","594.6-권64ㅂ","부엌이 약방이 되는 면역력 밥상","권영희 지음","책밥","2019","15000","종합자료실"
"292","EM0000380281","517.52-이95ㅂ","비만, 차라리 다이어트 하지 마라","이홍찬 지음","렛츠book(렛츠북)","2019","13000","종합자료실"
"293","EM0000380282","547.72-신66ㅅ","사람을 살리는 구들 문화  : 개량형 구들 놓기","신용선 지음","Haum(하움)","2019","15000","종합자료실"
"294","EM0000380283","556-정66ㅈ","(새로운 시스템) 전기자동차","정용욱 ; 정구섭 공저","미전사이언스","2019","20000","종합자료실"
"295","EM0000380284","517.52-아45ㅁ","(세계적인 면역학자, 아보 도오루의) 면역력을 높이는 밥상","아보 도오루 지음  ; 겐미자키 사토미 요리  ; 윤혜림 옮김","전나무숲","2019","18000","종합자료실"
"296","EM0000380285","594.5-노64ㅅ","수험생을 위한 영양 가득 아침밥상  : 공부 체력을 보강하는 한 끼 집밥, 곰곰이 밥상","노영은 지음","청림Life","2019","15000","종합자료실"
"297","EM0000380286","513.9312-다821ㅅ","술과 건강  : 술은 약인가 독인가","다카스 도시아키 지음  ; 박윤중, 안용근 옮김","전파과학사","2019","13000","종합자료실"
"298","EM0000380287","593.24-마835ㅅ","스킨케어 바이블  : 원인 없는 트러블은 없다  : 우리가 알아야 할 피부의 거의 모든 것","안잘리 마토 지음 ; 신예용 옮김","윌북","2019","14800","종합자료실"
"299","EM0000380288","517.3-야31ㅅ","스탠퍼드식 최고의 피로회복법  = The Stanford method for ultimate super recovery","야마다 도모오 지음 ; 조해선 옮김","비타북스","2019","14000","종합자료실"
"300","EM0000380289","574.01-황813ㅅ","식재료 이력서","황천우 지음","북랩","2018","14800","종합자료실"
"301","EM0000380290","594.55369-홍53ㅇ","아보카도 레시피  = Avocado  : 맛을 아는 당신을 위한 초록 플레이팅","홍서우 지음","나무[수:]","2019","13000","종합자료실"
"302","EM0000380291","598.1-송67ㅇ","아이의 자존감을 높이는 대화법","송유순, 조정숙 [공]지음","예감","2019","14000","종합자료실"
"303","EM0000380292","591-신67ㅇ","알뜰 살림 상식사전  = Common sense dictionary of living  : 최소한의 도구로 끝내는 실전 살림 127  : 집 구하기, 청소, 세탁, 요리까지 한 권으로 완성","신윤경 지음","길벗","2019","17500","종합자료실"
"304","EM0000380293","481.634-김73ㅇ","(부산대학교 양산캠퍼스) 약용식물도감","김정훈 글·사진","부산대학교","2018","12000","종합자료실"
"305","EM0000380294","514.971-이57ㅇ","어깨가 살면 삶이 달라진다  : 진료실에서 못다 한 어깨 이야기","이수찬, 김태호, 김형건, 유순용, 이춘기, 차상원, 최경원 지음","느낌이있는책","2019","15800","종합자료실"
"306","EM0000380295","598.1-윤94ㅇ","엄마도 좀 배워!  : 나와 내 자녀를 위한 부모 공부","윤혜경 지음","나라i넷(나라아이넷)","2018","12000","종합자료실"
"307","EM0000380296","594.58-강79ㅇ","에어프라이어 만능 레시피북  : 혁명의 조리도구 에어프라이어 200% 활용법","강지현 지음  ; 이종수 사진","엔트리","2019","12000","종합자료실"
"308","EM0000380297","598.1-대219ㅇ","예민한 아이 육아법은 따로 있다  : 다른 아이보다 민감한 우리 아이를 위한 섬세한 육아법","나타샤 대니얼스 지음  ; 양원정 옮김","카시오페아","2019","17500","종합자료실"
"309","EM0000380298","378.9-이59ㅇ","오늘도 아이에게 화를 내고야 말았습니다","이시다 가쓰노리 지음  ; 신찬 옮김","Prism(프리즘)","2019","13000","종합자료실"
"310","EM0000380299","511.7-카43ㅇ","오늘도 우리 몸은 싸우고 있다  : 면역의 과학","캐서린 카버 지음  ; 양병찬 옮김","현암사","2019","18000","종합자료실"
"311","EM0000380300","594.504-최811ㅇ","(조리사를 꿈꾸는 이들이게) 요리가 주는 확실한 행복  = The happiness of cooking  : 조리사를 꿈꾸는 이들에게","최창업 지음  ; 이순미 그림","좋은땅","2019","14000","종합자료실"
"312","EM0000380301","558.9-도39ㅇ","우주시스템 입문  = Introduction to space system dynamics  : 로켓과 인공위성의 운동","도미타 노부유키 지음  ; 안재명, 이기주 옮김","경문사","2018","18000","종합자료실"
"313","EM0000380302","513.994-우58ㅇ","의사에게 의지하지 않아도 암은 사라진다  : 내과 의사인 내가 암에 걸렸을 때 실천하게 될 기본 치료법","우쓰미 사토루 지음  ; 이주관, 박유미 옮김","청홍","2019","15300","종합자료실"
"314","EM0000380303","531-대91ㅌ","(자연과 문명의 조화) 토목공학  = Harmony of nature and civilization civil engineering","대한토목학회'자연과 문명의 조화 토목공학' 출판위원회 지음","씨아이알","2018","25000","종합자료실"
"315","EM0000380304","513.35-장55ㅈ","장이 건강하면 우울증 불면증 당뇨병 고혈압 아토피가 치유된다","장솔 지음","가나북스","2019","13000","종합자료실"
"316","EM0000380305","556.202-김53ㅈ","(전기차 사용자가 전해주는) 전기차 이야기  : 전기차에 대한 오해를 풀고 진실을 맞이해야 할 시간","김성태, 김재진, 심언 지음","다독임북스","2019","18000","종합자료실"
"317","EM0000380306","594.675-야211ㅈ","전자레인지만 있으면 OK!","야나기사와 에이코 지음 ; 김윤경 옮김","시그마북스","2019","12000","종합자료실"
"318","EM0000380307","598.104-엔77ㅈ","절찬리 육아중  : 아들 때문에 울고 웃는 엄마들을 위한 육아 그림 에세이","엔쮸 글·그림","21세기북스(북이십일 21세기북스)","2019","15000","종합자료실"
"319","EM0000380308","598.04-브233ㅈ","좀비 육아  : 철없는 딸바보 아빠의 현실밀착형 육아 에세이","제임스 브레이크웰 지음  ; 최다인 옮김","한빛비즈","2019","15800","종합자료실"
"320","EM0000380309","594.5-런67ㅈ","중독되는 매운맛 90  : 명품 요리에서 간단음료 & 디저트까지 매운맛으로의 초대","런윈리 엮음  ; 이영주 옮김","그린라이프","2019","15000","종합자료실"
"321","EM0000380310","513.74-척817","척추의사, 인생 진료실에서 환자를 만나다  : 8인의 척추 의사가 전하는 환자와 의사의 속깊은 치료 이야기","이수찬, 고한승, 김승국, 박진규, 이동찬, 이병회, 장준원, 정기호 지음","맛있는책","2019","12000","종합자료실"
"322","EM0000380311","591-조67ㅊ","초절약 살림법  : 1년에 1000만원 모은다!","조윤경 지음","책책","2019","15800","종합자료실"
"323","EM0000380312","594.5-고64ㅊ","최소 반찬  : 소소하고 확실한 최소한의 어덜트 교과서","고영리 글  ; 김민경 그림","더 디퍼런스","2019","11500","종합자료실"
"324","EM0000380313","594.5-신55ㅊ","최소 한 그릇 집밥  : 소소하고 확실한 최소한의 어덜트 교과서","신소희 글·사진","더 디퍼런스","2019","11500","종합자료실"
"325","EM0000380314","513.898-고53ㅊ","치매 강의노트  = Lecture notes on dementia  : 치매대상자와 간병인을 위한 케어 노하우","고성희, 이영희 지음","전북대학교","2019","16000","종합실(치매예방)"
"326","EM0000380315","538.989-윤58ㅊ","치매와의 공존  : 고령화 시대, 치매와의 공존을 위한 종합안내서","윤승천 편저","건강신문사","2019","20000","종합실(치매예방)"
"327","EM0000380316","594.3993-스833ㅋ","커피 연구소  : 완벽한 한 잔을 위한 커피 공부","숀 스테이먼 지음  ; 김수민 옮김","웅진지식하우스","2018","15000","종합자료실"
"328","EM0000380317","594.5-김98ㅋ","(아침 20분, 예쁜 다이어트 도시락) 콩콩도시락","김희영 지음  ; 박건주 사진","레시피팩토리","2019","15800","종합자료실"
"329","EM0000380318","594.563-김79ㅌ","퇴근 후 한 잔  : 20만 명이 선택한, 20분으로 완성하는 근사한 반주 라이프","김지혜 지음","지콜론북","2019","19500","종합자료실"
"330","EM0000380319","513.819-박44ㅍ","파킨슨병 완치로 가는 길  : 불편한 증상 대처법·파킨슨병 치료의 최신지견","박병준 지음","의학서원","2019","15000","종합자료실"
"331","EM0000380320","594.538-킴52ㅎ","한 달에 한 번은, 나를 위한 파인다이닝","샘킴 지음  ; 강희갑 사진","Bella Luna(벨라루나)","2019","22000","종합자료실"
"332","EM0000380321","513.898-한53ㅊ","(한설희 명의의) 치매 걱정 없는 행복한 노후  : 대한민국 최고의 명의가 알려주는 치매 예방·관리 프로그램","한설희 지음","예문아카이브","2018","18000","종합실(치매예방)"
"333","EM0000380322","802.5-신225ㅎ","행복한 수다가 치매를 예방한다","신동명 지음","창조와 지식","2018","12000","종합실(치매예방)"
"334","EM0000380323","598.1-이34ㅎ","행복한 엄마 더 행복한 아이","이명혜 지음","파우스트","2019","15000","종합자료실"
"335","EM0000380324","517.46-웬818ㅎ","헬시 홈  : 당신의 가족을 위협하는 집안의 비밀","마이런 웬츠, 데이브 웬츠 지음  ; 윤승일 옮김","푸른솔","2019","22000","종합자료실"
"336","EM0000380325","523.22-변94ㅎ","화성에서 만난 오래된 씨앗과 지혜로운 농부들","변현단 지음","시금치","2018","10000","종합자료실"
"337","EM0000380326","653.2-잭73ㄱ","가까이서 보는 미술관  : 명화를 이해하는 60가지 주제","이에인 잭젝 지음  ; 유영석 옮김","미술문화","2019","25000","종합자료실"
"338","EM0000380327","593.5-이53ㄱ","골프 필라테스 : 골퍼, 필라테스를 만나다!","이성민 지음","비즈토크북","2019","15000","종합자료실"
"339","EM0000380328","592.27-박18ㄱ","그노의 감성 양모펠트  : 항상 함께하는 동물 인형 만들기","박근호 저","아이생각","2019","17000","종합자료실"
"340","EM0000380329","651-백211ㄱ","그림, 색에 관한 모든 것","백남원 지음","연두m&b","2019","16800","종합자료실"
"341","EM0000380330","606.913-진66ㄱ","기억되는 것은 사라지지 않는다  : 나의 일본 미술관 기행","진용주 지음","단추","2019","22000","종합자료실"
"342","EM0000380331","652.52-차67ㄴ","나도 수채화 잘 그리면 소원이 없겠네  : 도구 사용법부터 꽃 그리기까지, 초보자를 위한 4주 클래스","차유정 지음","한빛라이프","2019","13800","종합자료실"
"343","EM0000380332","609-양73ㅁ-5","(난생 처음 한번 공부하는) 미술 이야기. 5, 이탈리아 르네상스 문명과 미술-갈등하는 인간이 세계를 바꾸다","양정무 지음","사회평론","2018","20000","종합자료실"
"344","EM0000380333","609-뎀848ㄷ","단숨에 읽는 현대미술사  : 현대미술사에서 가장 역동적이고 흥미로웠던 68개의 시선","에이미 뎀프시 지음  ; 조은형 옮김","시그마북스","2019","12000","종합자료실"
"345","EM0000380334","699.104-김37ㅂ","(대한민국이 엄선한) 100대 명산  : 수필로 읽어가는 산행기","김무홍 지음","지식과감성#","2019","30000","종합자료실"
"346","EM0000380335","600.18-서67ㄷ","더힐링스쿨  : 상처 입은 청소년을 위한 예술처방","서울문화재단 서울예술치유허브 기획·지음","서울문화재단 서울예술치유허브","2018","14000","종합자료실"
"347","EM0000380336","650.4-김94ㅁ","명화 한 장 테이크아웃  : 집에서 편하게 만나는 소설가의 미술 에세이","김현경 지음","M&K","2018","16000","종합자료실"
"348","EM0000380337","674.2-박44ㅁ","뮤지컬 탐독  : 내 책상위의 위대한 판타지","박병성 지음","마인드빌딩","2019","20000","종합자료실"
"349","EM0000380338","653.269-스829ㄱ","고흐가 그린 사람들  : 빈센트의 영혼의 초상화","랄프 스키 지음  ; 이예원 옮김","이종","2019","15000","종합자료실"
"350","EM0000380339","675.21-록67ㅂ","베토벤 심포니  : 베토벤스케치북에 숨겨진 교향곡의 심연","루이스 록우드 지음  ; 장호연 옮김","바다","2019","25000","종합자료실"
"351","EM0000380340","600.1-백79ㅂ","본 것을 걸어다긋이  : 어느 큐레이터의 글쓰기","백지숙 지음","미디어버스","2018","25000","종합자료실"
"352","EM0000380341","601-김71ㅂ","불가능한 대화 : 미술과 글쓰기","김장언 지음","미디어버스","2018","15000","종합자료실"
"353","EM0000380342","818-서73ㅅ","사진 속에 갇힌 진실","서정범 지음","패스이안","2019","15000","종합자료실"
"354","EM0000380343","818-곽67ㅅ","사진을 쓰다  : 곽윤섭 포토에세이","곽윤섭 지음","나남","2019","19000","종합자료실"
"355","EM0000380344","699.104-김44ㅅ","산을 바라보다","김병준 글","선","2019","25000","종합자료실"
"356","EM0000380345","818-백225ㅅ","쉘 위 댄스  = Shall we dance","백동석 씀","책창고","2018","15000","종합자료실"
"357","EM0000380346","688.09-영96","영화, 세계의 그늘을 읽다","김광순, 김은영, 김현아, 박오복, 이수진, 이혜란, 차희정 공저","전남대학교","2018","13000","종합자료실"
"358","EM0000380347","337.1-이45ㅇ","영화, 여자를 말하다  : 삶의 거울이 되는 영화 속 여자들의 인생 이야기","이봄 지음","메이트북스","2019","15000","종합자료실"
"359","EM0000380348","676.92-킴7ㅇ","우리가 알아야 할 28인의 재즈드러머와 그들의 드럼 아이디어","주드킴 지음","모노폴리","2019","18000","종합자료실"
"360","EM0000380349","671.61099-이14ㅇ","위대한 작곡가들의 숨은 얼굴","이경미 글","조선뉴스프레스","2019","13000","종합자료실"
"361","EM0000380350","671-아827ㅇ","음악의 기초","아쿠타가와 야스시 지음 ; 김수희 옮김","에이케이커뮤니케이션즈","2019","9800","종합자료실"
"362","EM0000380351","671.6-이67ㅇ","이지 디제잉  = EZ djing  : 12주차로 끝내는 디제잉의 모든 것","이유환 지음","혜지원","2019","15000","종합자료실"
"363","EM0000380352","691.74-이812ㅁ","(이채원의) 몸치 클리닉  : 댄스 스포츠 스타강사의 노하우가 담긴 입문도서","이채원 지음","크라운","2016","18000","종합자료실"
"364","EM0000380353","998.6-레213","(평화를 갈망한 슈퍼스타) 존 레넌","강백수 지음","더이룸","2019","12000","종합실(청소년)"
"365","EM0000380354","중609.12-판17ㅈ","중국 현대미술의 길  : 모더니티의 전이와 변용  = The road of Chinese modern art : modification and transfer of modernity","판궁카이 지음  ; 민정기, 서성, 홍상훈, 홍승직 옮김","소명","2018","66000","중국문화정보실"
"366","EM0000380355","670.4-채58ㅌ","(채승기의) 톡 클래식  : 5분 만에 읽는 클래식","채승기 저","J & jj(제이 앤 제이제이)","2019","15000","종합자료실"
"367","EM0000380356","653.11-김72ㅊ","처음 가는 미술관 유혹하는 한국 미술가들  : 도슨트와 떠나는 한국 현대미술 작가전!","김재희 지음","벗나래","2019","18000","종합자료실"
"368","EM0000380357","656.4-구94ㅇ","(처음 배우는) 오일파스텔  : 마음을 담은 꽃 그리기","구현선 지음","클","2018","17000","종합자료실"
"369","EM0000380358","606-큐233","큐레이팅을 말하다  : 전문가 29인이 바라본 동시대 미술의 현장","전승보 엮음  ; 송미숙 외 28인 지음","미메시스","2019","22000","종합자료실"
"370","EM0000380359","671.64-버838ㅇ","(클래식 시대의 음악에 대한) 연주자를 위한 가이드","Anthony Burton [편]","중앙아트 제이앤에이뮤직","2019","15000","종합자료실"
"371","EM0000380360","670.9-허68ㅋ","클래식으로 자살하기","허은 지음","답게","2018","18000","종합자료실"
"372","EM0000380361","606.926-이225ㅍ","파리 미술관 역사로 걷다  : 프랑스 혁명기의 다비드부터 자본주의 시대의 반 고흐까지","이동섭 지음","지식서재","2018","18000","종합자료실"
"373","EM0000380362","680.911-유39ㅍ","풍성한 문화예술계의 명암","유민영 지음","태학사","2019","19000","종합자료실"
"374","EM0000380363","673.53099-머827","프레디","알폰소 카사스 쓰고 그리다  ; 윤승진 옮김","심플라이프","2019","18000","종합자료실"
"375","EM0000380364","673.53099-머827","프레디 머큐리  : 보헤미안 랩소디를 외친 퀸의 심장을 엿보다  : 프레디 머큐리 공식 인사이트 포토북","리차드 그레이, 숀 오헤건, 그렉 브룩스, 필 사임스 지음  ; 공경희 옮김","미르북컴퍼니","2019","25000","종합자료실"
"376","EM0000380365","679.16-전69ㅎ","한국음악 장단의 역사  = History of Korean rhythmic modes(jangdan)","전인평 지음","아시아음악학회","2018","32000","종합자료실"
"377","EM0000380366","609.2-드219ㅎ","(르네상스에서 초현실주의까지 예술사조로 정리한) 핵심 서양미술사","제라르 드니조 지음 ; 배영란 옮김","클","2018","13500","종합자료실"
"378","EM0000380367","745-디823ㅇ","English for everyone 비주얼 영문법","DK 저  ; 이민호 해설·강의","YBM","2019","15000","종합자료실"
"379","EM0000380368","736-일45ㅇ","(내가 쓰고 싶은 말이 다 있는) 일본어일기 표현사전  = Japanese diary dictionary","일본어콘텐츠개발팀 지음","넥서스Japanese","2019","25000","종합자료실"
"380","EM0000380369","중720-김61ㅃ","(영상으로 체험하는) 뿜뿜 중국어. 탄탄대로 취업편","김안나 지음","다락원","2019","13000","중국문화정보실"
"381","EM0000380370","중727.5-유57ㅂ","(현장에서 바로 쓰는) 비즈니스 中國語 회화  : 최신 중국문화를 배우며 누구와도 통하는 현지 중국어","유수현 지음","밥북","2019","14000","중국문화정보실"
"382","EM0000380371","747.5-이39ㅇ","1일 1패턴 여행영어  : 하루에 딱 하나만! 30일 후면 나도 자유여행 간다","이민호 지음","길벗 이지톡","2019","12000","종합자료실"
"383","EM0000380372","701.7-최53ㅇ","AI 시대의 번역  : 이론과 실제","최성희 지음","세창","2019","15000","종합자료실"
"384","EM0000380373","740.7-제69ㅈ","JHO 100시간 영어 학습법","JHO 지음","새잎","2019","16000","종합자료실"
"385","EM0000380374","777.5-강72ㅅ","(New 열공 왕초짜) 스페인어 첫걸음 : 핵심강의로 왕초보가 쉽게 배운다","강재욱 저","동인랑","2019","16500","종합자료실"
"386","EM0000380375","중725-리77ㄱ","고대중국어 어법론","리쭤펑 지음 ; 신원철, 김혜영, 이강재 옮김","역락","2018","40000","중국문화정보실"
"387","EM0000380376","710.109-안64ㄱ","근대 한국어의 변이와 변화  = Variations and shifts in modern korean","안예리 지음","소명","2019","30000","종합자료실"
"388","EM0000380377","715-김98ㄱ","글쓰기·책쓰기 디자인 현대문법 어문규정  : 글쓰기와 책쓰기 디자인을 위한 필독서!","김흥중 편저","Nexen media","2019","20000","종합자료실"
"389","EM0000380378","744-이59ㄱ","기적의 말하기 영단어 1000","이시원 지음","시원스쿨닷컴","2019","9000","종합자료실"
"390","EM0000380379","711.4-김225ㄱ","길위에서 만난 한자  : 한문 선생님의 교실 밖 한문 수업","김동돈 지음","작은숲","2018","14000","종합자료실"
"391","EM0000380380","747.5-김64ㄱ-3","(하루 5분 국민 영어과외) 김영철·타일러의 진짜 미국식 영어. 3","김영철, 타일러 지음","위즈덤하우스 미디어그룹","2019","14800","종합자료실"
"392","EM0000380381","747-박79ㄱ","(세계에서 가장 영향력있는 100인에 선정된) 김용 : 세계은행 총재 : 스피치 스페셜","박지성, 강홍식 지음","Jonghap","2019","13000","종합자료실"
"393","EM0000380382","747.5-더825ㄱ","(매일 10분으로 끝장내는) 기적의 영어회화 패턴  : 왕초보를 위한 영어 말하기 집중 트레이닝","더 콜림 지음","베이직북스","2019","13800","종합자료실"
"394","EM0000380383","747.5-스67ㄷ","(미션 파서블) 당신을 구출할 진짜 미국 영어","June Sweeney 지음","바이링구얼","2019","13500","종합자료실"
"395","EM0000380384","745-이71ㅂ","반란의 영문법  = Rebellious grammar  : 앞서가는 젊은 세대와 깨어 있는 영어 교육자들을 위한 진보적이고 실용적인 현대 영문법","이장원 지음","지식과감성#","2019","29000","종합자료실"
"396","EM0000380385","중737.5-서79ㅂ","(현지에서 바로바로 활용하는) 베스트 여행 중국어 완전정복","서지위, 장현애, 장지연 [공]저","반석","2019","9500","중국문화정보실"
"397","EM0000380386","325.489-리39ㅂ","비즈니스 영어 이메일을 틀리지 않고 쓰는 법  : 영어 이메일이 순식간에 써진다","미카 리 지음","동양북스","2019","13500","종합자료실"
"398","EM0000380387","724-배73ㅇ=2","(빠오즈메이(包子妹)의) 중국어 메뉴판 마스터","배정현, 양은지 지음  ; 조유리 그림","bs(브레인스토어)","2018","14800","종합자료실"
"399","EM0000380388","중726-리79ㅃ","빨간맛 중국어. 일기편","리지아니 지음","처음북스","2019","13000","중국문화정보실"
"400","EM0000380389","734-어91ㅅ","(新) 스피드 한일 일한 기초단어  : 우리말로 쉽게 찾아 곧바로 활용할 수 있는 한일사전의 축소판","어학연구소 지음","사사연","2019","18000","종합자료실"
"401","EM0000380390","737.5-김73ㅂ","(실전) 비즈니스 일본어 회화 : 중급","김정미 지음","제이앤씨","2018","14000","종합자료실"
"402","EM0000380391","739.82-느68ㅆ","씬나게 시작하는 베트남어 첫걸음","Nguyen Thi Mai 엮음","예가","2019","10000","종합자료실"
"403","EM0000380392","740.7-이11ㅇ","(실제로 특허 받은 '영어 문장을 학습하는 장치 및 방법'을 통해) 영어, 이제 달리자!","이강석 지음","새움","2019","14000","종합자료실"
"404","EM0000380393","747.5-강95ㅇ","영화 속 영어회화[&:앤]","강홍식 지음","Jonghap","2019","15000","종합자료실"
"405","EM0000380394","중727.5-신45ㅇ","이렇게 쉬운 중국어 회화 100  : 만년 초급 탈출 프로젝트","신보경 지음","바이링구얼","2019","13500","중국문화정보실"
"406","EM0000380395","734-김57ㅇ","일본어를 군것질로 배웠습니다만","김수민 지음","라즈베리","2019","12800","종합자료실"
"407","EM0000380396","711.25-조53ㅈ","(사정한) 조선어 표준말 모음 : 1936년 조선어학회 발행 초판본","조선어학회 지음","더스토리","2019","12800","종합자료실"
"408","EM0000380397","711.2-세75ㅎ","훈민정음 해례본  : 국민보급형  : 우주의 질서와 철학이 담긴 한글 창제의 원리와 그 사용법","세종대왕 원작  ; 이영호 글","달아실","2019","8000","종합자료실"
